path,programName,sourceSha256,firstBlockingFamily,latentFamilyUnderProfileProbe,firstBlockingStage,frontendState,frontendExit,lowerState,lowerExit,cfgState,dependencyState,spVersion,spObserved,spPartial,spUnsupported,entryInventory,storageGapCodes,unresolvedDependencyOccurrences,unresolvedDependencyNames,rawDirectory
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COADM01C.cl2,COADM01C,69842c4dd419ed70365682d65423d2744173f3eec695b25b5ed27bd29289608d,F5_STORAGE_INPUT_MISSING,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,74,59,12,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COADM01C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COBIL00C.cl2,COBIL00C,b5c46039eb8fd2f7ed7d3ca379172e56fa87385a369023bef706b04986fe1cfb,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,190,149,30,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COBIL00C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COCRDLIC.cl2,COCRDLIC,d6a9210ad3062bd657881fc3f0d2a7368db3ff4869594e0d6a878d8f410d87b6,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,500,330,162,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COCRDLIC.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COCRDSLC.cl2,COCRDSLC,d5af307fb4b1a155f03df9eea14b402d866a332360e14a1e37dbefe59b73363b,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,263,161,95,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COCRDSLC.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COCRDUPC.cl2,COCRDUPC,3ffeeb3d3c53e64e632bde36771dbbcf080e92ed4168d30d90c21e4dc198e6ef,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.35.0,488,260,204,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COCRDUPC.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COMEN01C.cl2,COMEN01C,ad5e376ac9221b21b8ce47597a5ca17fc1f39dc913793c814c6675e9b046fc09,F5_STORAGE_INPUT_MISSING,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,81,64,13,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COMEN01C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CORPT00C.cl2,CORPT00C,0b06bd5d4f38f17871de8985c439dfce7ed30d28e02b6ffeb8459e0cd8db4fc2,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,220,168,42,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CORPT00C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COSGN00C.cl2,COSGN00C,4f901ae6b113eebae60ae1d94b30f8cb9906d031a4419770bf56980bdf97e377,F5_STORAGE_INPUT_MISSING,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,71,61,9,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COSGN00C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COTRN00C.cl2,COTRN00C,51479f131b4fb300008403f0c4f9fdbde56f22a7fb341c782492da29f0d23bbe,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,294,246,43,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COTRN00C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COTRN01C.cl2,COTRN01C,fc24ff879ac6ae12bc6817554cb756f14c5e86e0ca2dd0037af49599887f03c0,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,95,80,12,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COTRN01C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COTRN02C.cl2,COTRN02C,dc33b4c797a98d2732070a223f43cc78992c2846681163a032e376630742b1ed,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,300,252,40,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COTRN02C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COUSR00C.cl2,COUSR00C,831433c6ec8306038c85cb86a8307f91dca48c26ef33a997f402187cbd9f4e04,F2_PERFORM_PARAGRAPH_BOUNDARY,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,288,241,43,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COUSR00C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COUSR01C.cl2,COUSR01C,aa131b1e3382dc6d101b42f1c97d4fb0c2fdd706819ed9f9a0187c82b30f3019,F5_STORAGE_INPUT_MISSING,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,94,82,10,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COUSR01C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COUSR02C.cl2,COUSR02C,85d36699cbd3079320e689576ea8406d07ad78901f4f3a68a129b869359b46ca,F5_STORAGE_INPUT_MISSING,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,148,124,20,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COUSR02C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COUSR03C.cl2,COUSR03C,bcd68f08c145b3b9b9c809a7082834e9519d78b6f363a0d1c5ff9d9576dcf888,F5_STORAGE_INPUT_MISSING,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.36.0,115,96,16,INPUT_MISSING,PROFILE_NOT_SELECTED|INPUT_MISSING,2,DFHAID|DFHBMSCA,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/COUSR03C.cl2
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CSUTLDTC.cbl,CSUTLDTC,05565b6ca61098097391bd6ae14268eb122d41c76570d2336253b0cdb5a961fa,F4_STORAGE_PROFILE_UNSELECTED,,lower,PARTIAL,0,BLOCKED,4,NOT_REACHED,NOT_REACHED,2.37.0,29,21,8,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/CSUTLDTC.cbl
samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/SDSF.cbl,SDSF,d01b013e55ef4f7b76044ef98fa30fa077ec8d0a6847efab7f2c466087264027,PIPELINE_PARTIAL,,,PARTIAL,0,PARTIAL,0,PARTIAL,PARTIAL,2.31.0,2,1,0,PARTIAL,PROFILE_NOT_SELECTED,0,,programs/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip!/migrated_app/cbl/SDSF.cbl
